Pull_Ke,Cumulative_Probability_Fixed,Cumulative_Probability_Weighted
1,0.568,0.568
2,1.168,1.147
3,1.791,1.79
4,2.401,2.388
5,3.008,2.949
6,3.585,3.55
7,4.214,4.103
8,4.774,4.667
9,5.34,5.235
10,5.887,5.82
11,6.456,6.364
12,6.995,6.91
13,7.524,7.499
14,8.081,8.08
15,8.634,8.639
16,9.188,9.216
17,9.766,9.784
18,10.268,10.319
19,10.805,10.881
20,11.321,11.398
21,11.846,11.91
22,12.396,12.419
23,12.944,12.89
24,13.479,13.409
25,14.027,13.925
26,14.546,14.501
27,15.103,15.055
28,15.553,15.533
29,16.042,16.047
30,16.539,16.553
31,17.054,17.008
32,17.515,17.501
33,17.989,18.004
34,18.474,18.495
35,18.933,19.014
36,19.407,19.477
37,19.84,19.95
38,20.27,20.401
39,20.761,20.864
40,21.208,21.369
41,21.705,21.853
42,22.185,22.321
43,22.612,22.843
44,23.074,23.325
45,23.561,23.809
46,24.015,24.26
47,24.482,24.708
48,24.943,25.141
49,25.401,25.589
50,25.831,29.734
51,26.269,37.293
52,26.721,46.983
53,27.179,57.872
54,27.615,68.639
55,28.041,78.219
56,28.504,85.931
57,28.951,91.614
58,29.359,95.417
59,29.822,97.649
60,30.248,98.954
61,30.658,99.596
62,31.046,99.864
63,31.45,99.957
64,31.847,99.993
65,32.274,100.0
66,32.694,100.0
67,33.078,100.0
68,33.46,100.0
69,33.842,100.0
70,34.232,100.0
