Pull_Ke,Cumulative_Probability_Fixed,Cumulative_Probability_Weighted
1,0.612,0.578
2,1.218,1.15
3,1.799,1.729
4,2.388,2.33
5,2.943,2.945
6,3.543,3.543
7,4.113,4.085
8,4.722,4.672
9,5.321,5.202
10,5.871,5.724
11,6.473,6.307
12,7.07,6.836
13,7.622,7.383
14,8.135,7.932
15,8.694,8.507
16,9.238,9.078
17,9.743,9.653
18,10.289,10.203
19,10.79,10.726
20,11.293,11.263
21,11.79,11.785
22,12.296,12.327
23,12.824,12.852
24,13.358,13.364
25,13.876,13.892
26,14.368,14.419
27,14.89,14.937
28,15.397,15.471
29,15.894,16.032
30,16.357,16.511
31,16.843,17.022
32,17.395,17.537
33,17.915,18.056
34,18.397,18.57
35,18.859,19.044
36,19.347,19.533
37,19.857,19.995
38,20.379,20.453
39,20.833,20.923
40,21.294,21.402
41,21.754,21.89
42,22.19,22.339
43,22.668,22.794
44,23.151,23.243
45,23.59,23.694
46,24.078,24.135
47,24.516,24.579
48,24.982,25.017
49,25.435,25.489
50,25.862,29.678
51,26.305,37.088
52,26.77,46.821
53,27.201,57.749
54,27.607,68.441
55,28.033,78.091
56,28.449,85.945
57,28.893,91.75
58,29.337,95.549
59,29.78,97.715
60,30.234,98.993
61,30.652,99.622
62,31.022,99.863
63,31.438,99.954
64,31.849,99.988
65,32.269,99.999
66,32.652,100.0
67,33.075,100.0
68,33.467,100.0
69,33.838,100.0
70,34.243,100.0
