Pull_Ke,Cumulative_Probability_Fixed,Cumulative_Probability_Weighted
1,0.615,0.628
2,1.147,1.251
3,1.733,1.855
4,2.347,2.448
5,2.926,3.023
6,3.499,3.631
7,4.1,4.212
8,4.651,4.783
9,5.196,5.347
10,5.753,5.9
11,6.353,6.471
12,6.889,7.039
13,7.467,7.595
14,8.004,8.132
15,8.589,8.674
16,9.163,9.23
17,9.713,9.783
18,10.285,10.366
19,10.823,10.936
20,11.344,11.481
21,11.858,12.031
22,12.314,12.534
23,12.877,13.053
24,13.406,13.612
25,13.913,14.148
26,14.418,14.679
27,14.922,15.21
28,15.446,15.7
29,15.953,16.224
30,16.471,16.681
31,16.964,17.19
32,17.479,17.737
33,18.002,18.228
34,18.473,18.702
35,18.962,19.177
36,19.431,19.66
37,19.937,20.157
38,20.419,20.655
39,20.897,21.171
40,21.349,21.656
41,21.818,22.129
42,22.274,22.608
43,22.77,23.081
44,23.233,23.578
45,23.71,24.074
46,24.164,24.53
47,24.586,24.978
48,25.004,25.419
49,25.434,25.863
50,25.882,30.041
51,26.341,37.476
52,26.788,47.388
53,27.227,58.203
54,27.661,69.03
55,28.093,78.545
56,28.532,86.139
57,28.964,91.796
58,29.419,95.537
59,29.851,97.794
60,30.281,98.96
61,30.708,99.593
62,31.119,99.851
63,31.561,99.952
64,31.976,99.986
65,32.416,99.997
66,32.817,99.999
67,33.242,100.0
68,33.663,100.0
69,34.068,100.0
70,34.469,100.0
