Pull_Ke,Cumulative_Probability_Fixed,Cumulative_Probability_Weighted
1,0.628,0.53
2,1.246,1.108
3,1.865,1.691
4,2.449,2.272
5,3.016,2.848
6,3.591,3.416
7,4.178,4.014
8,4.747,4.596
9,5.298,5.158
10,5.866,5.722
11,6.415,6.296
12,6.941,6.9
13,7.51,7.446
14,8.086,7.966
15,8.63,8.52
16,9.215,9.093
17,9.788,9.628
18,10.331,10.205
19,10.909,10.735
20,11.403,11.305
21,12.012,11.858
22,12.579,12.377
23,13.083,12.867
24,13.62,13.357
25,14.192,13.906
26,14.699,14.428
27,15.198,14.948
28,15.695,15.463
29,16.205,15.954
30,16.673,16.493
31,17.161,16.981
32,17.674,17.485
33,18.164,18.0
34,18.636,18.517
35,19.134,19.013
36,19.622,19.497
37,20.118,19.979
38,20.596,20.487
39,21.086,20.966
40,21.635,21.399
41,22.098,21.838
42,22.585,22.314
43,23.051,22.749
44,23.543,23.201
45,23.962,23.66
46,24.427,24.155
47,24.861,24.603
48,25.312,25.047
49,25.786,25.49
50,26.258,29.806
51,26.697,37.319
52,27.12,47.267
53,27.525,57.994
54,27.979,68.6
55,28.407,78.2
56,28.833,85.854
57,29.25,91.624
58,29.695,95.417
59,30.107,97.799
60,30.524,99.031
61,30.984,99.625
62,31.442,99.859
63,31.857,99.956
64,32.282,99.987
65,32.682,99.999
66,33.097,100.0
67,33.497,100.0
68,33.885,100.0
69,34.281,100.0
70,34.657,100.0
