Pull_Ke,Cumulative_Probability_Fixed,Cumulative_Probability_Weighted
1,0.576,0.599
2,1.142,1.198
3,1.752,1.816
4,2.306,2.442
5,2.889,3.024
6,3.437,3.62
7,4.042,4.187
8,4.618,4.698
9,5.204,5.265
10,5.797,5.854
11,6.334,6.444
12,6.896,7.025
13,7.404,7.619
14,7.935,8.118
15,8.445,8.698
16,9.012,9.242
17,9.572,9.815
18,10.132,10.372
19,10.669,10.914
20,11.187,11.463
21,11.714,12.0
22,12.241,12.558
23,12.737,13.074
24,13.278,13.618
25,13.815,14.148
26,14.333,14.689
27,14.844,15.204
28,15.346,15.715
29,15.83,16.203
30,16.304,16.74
31,16.82,17.254
32,17.257,17.77
33,17.755,18.256
34,18.251,18.756
35,18.751,19.224
36,19.189,19.715
37,19.655,20.229
38,20.153,20.71
39,20.607,21.193
40,21.096,21.62
41,21.549,22.083
42,22.049,22.523
43,22.512,22.993
44,22.962,23.46
45,23.435,23.951
46,23.89,24.366
47,24.339,24.843
48,24.789,25.274
49,25.236,25.739
50,25.658,29.917
51,26.125,37.281
52,26.563,47.099
53,27.014,57.961
54,27.477,68.847
55,27.892,78.401
56,28.307,86.054
57,28.701,91.773
58,29.109,95.505
59,29.515,97.819
60,29.978,99.002
61,30.396,99.605
62,30.815,99.856
63,31.205,99.954
64,31.616,99.989
65,32.025,99.998
66,32.429,100.0
67,32.813,100.0
68,33.177,100.0
69,33.556,100.0
70,33.957,100.0
