Pull_Ke,Cumulative_Probability_Fixed,Cumulative_Probability_Weighted
1,0.64,0.618
2,1.209,1.206
3,1.81,1.797
4,2.421,2.384
5,3.071,2.98
6,3.652,3.56
7,4.211,4.198
8,4.821,4.757
9,5.377,5.345
10,5.904,5.907
11,6.439,6.458
12,7.03,6.983
13,7.607,7.558
14,8.122,8.082
15,8.659,8.637
16,9.226,9.224
17,9.782,9.77
18,10.378,10.31
19,10.909,10.834
20,11.486,11.388
21,12.016,11.915
22,12.546,12.426
23,13.143,12.91
24,13.635,13.435
25,14.134,13.971
26,14.643,14.512
27,15.17,15.038
28,15.666,15.517
29,16.166,16.015
30,16.681,16.47
31,17.152,16.987
32,17.65,17.497
33,18.18,18.003
34,18.706,18.483
35,19.192,18.988
36,19.663,19.486
37,20.117,19.961
38,20.622,20.449
39,21.103,20.917
40,21.568,21.37
41,22.015,21.828
42,22.492,22.265
43,22.91,22.678
44,23.38,23.121
45,23.834,23.561
46,24.295,24.023
47,24.78,24.462
48,25.226,24.913
49,25.653,25.336
50,26.12,29.472
51,26.597,36.886
52,27.023,46.742
53,27.473,57.823
54,27.923,68.67
55,28.365,78.169
56,28.804,85.877
57,29.243,91.597
58,29.673,95.392
59,30.072,97.746
60,30.517,98.985
61,30.942,99.601
62,31.342,99.871
63,31.765,99.959
64,32.169,99.988
65,32.575,99.999
66,32.956,99.999
67,33.321,100.0
68,33.757,100.0
69,34.165,100.0
70,34.522,100.0
