Pull_Ke,Cumulative_Probability_Fixed,Cumulative_Probability_Weighted
1,0.612,0.603
2,1.194,1.179
3,1.765,1.775
4,2.377,2.36
5,2.985,2.946
6,3.553,3.563
7,4.163,4.133
8,4.739,4.737
9,5.297,5.311
10,5.857,5.864
11,6.406,6.427
12,6.981,6.983
13,7.541,7.552
14,8.134,8.092
15,8.701,8.652
16,9.261,9.194
17,9.788,9.727
18,10.349,10.294
19,10.896,10.828
20,11.395,11.386
21,11.913,11.882
22,12.44,12.383
23,12.914,12.882
24,13.429,13.432
25,13.952,13.924
26,14.447,14.461
27,14.968,14.965
28,15.529,15.484
29,15.997,16.007
30,16.516,16.499
31,17.004,17.012
32,17.493,17.528
33,17.985,17.956
34,18.548,18.431
35,19.056,18.923
36,19.525,19.368
37,19.985,19.859
38,20.485,20.31
39,20.966,20.828
40,21.428,21.343
41,21.853,21.808
42,22.309,22.254
43,22.796,22.726
44,23.236,23.18
45,23.696,23.62
46,24.142,24.055
47,24.593,24.499
48,25.037,24.967
49,25.483,25.403
50,25.928,29.601
51,26.357,37.087
52,26.77,46.996
53,27.209,57.95
54,27.623,68.661
55,28.068,78.27
56,28.507,85.98
57,28.959,91.742
58,29.4,95.513
59,29.812,97.769
60,30.211,99.062
61,30.631,99.599
62,31.059,99.861
63,31.462,99.951
64,31.852,99.979
65,32.294,99.995
66,32.67,99.998
67,33.045,100.0
68,33.449,100.0
69,33.862,100.0
70,34.228,100.0
