Pull_Ke,Cumulative_Probability_Fixed,Cumulative_Probability_Weighted
1,0.589,0.561
2,1.161,1.156
3,1.709,1.747
4,2.282,2.322
5,2.833,2.924
6,3.419,3.504
7,3.961,4.089
8,4.559,4.654
9,5.148,5.256
10,5.705,5.849
11,6.285,6.423
12,6.857,7.014
13,7.421,7.573
14,8.0,8.11
15,8.586,8.687
16,9.133,9.227
17,9.686,9.749
18,10.237,10.298
19,10.782,10.869
20,11.297,11.401
21,11.829,11.953
22,12.349,12.492
23,12.825,13.051
24,13.399,13.583
25,13.908,14.091
26,14.435,14.599
27,14.953,15.117
28,15.489,15.607
29,16.01,16.098
30,16.544,16.636
31,17.026,17.156
32,17.507,17.662
33,18.031,18.145
34,18.538,18.637
35,19.027,19.114
36,19.504,19.59
37,19.967,20.088
38,20.464,20.559
39,20.964,21.062
40,21.463,21.54
41,21.938,22.002
42,22.412,22.5
43,22.876,22.972
44,23.339,23.436
45,23.786,23.916
46,24.218,24.365
47,24.667,24.85
48,25.151,25.274
49,25.595,25.709
50,26.074,29.864
51,26.498,37.275
52,26.963,47.087
53,27.419,58.047
54,27.859,68.811
55,28.295,78.494
56,28.736,86.062
57,29.169,91.784
58,29.608,95.541
59,30.023,97.824
60,30.449,99.043
61,30.852,99.595
62,31.247,99.855
63,31.63,99.958
64,32.078,99.991
65,32.48,99.998
66,32.907,100.0
67,33.31,100.0
68,33.716,100.0
69,34.121,100.0
70,34.512,100.0
